Location;Crop;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;
World;Maize;Tonnes/hectare;3,66;3,61;4,00;3,58;4,11;3,81;4,17;4,18;4,37;4,36;4,64;4,39;4,38;4,33;4,95;4,85;4,81;4,94;5,05;5,20;5,12;5,29;4,97;5,55;5,76;5,57;5,93;5,84;6,12;6,01;6,00;6,10;6,17;6,24;6,28;6,33;6,38;6,44;6,50;6,55;6,61;;;
Argentina;Rice;Tonnes/hectare;2,488;2,752;3,535;2,953;2,930;3,422;3,474;3,642;3,248;3,899;3,251;3,876;3,910;3,671;4,260;4,089;4,802;4,462;4,663;4,619;3,920;4,618;4,530;4,569;4,418;4,561;4,583;4,433;4,698;4,415;4,387;4,731;4,784;4,847;4,905;4,967;5,022;5,081;5,139;5,200;5,260;;;
Australia;Rice;Tonnes/hectare;8,315;8,395;8,094;8,336;8,538;7,051;8,257;9,007;9,203;8,275;9,283;8,278;9,319;8,379;6,647;9,833;8,150;8,501;8,461;10,390;9,544;8,910;10,275;10,939;9,910;10,306;9,821;10,386;8,771;9,574;8,305;8,388;8,471;8,557;8,642;8,729;8,816;8,905;8,994;9,084;9,175;;;
Brazil;Rice;Tonnes/hectare;1,277;1,583;1,467;1,513;1,606;1,764;1,741;1,826;1,745;2,048;2,112;2,173;2,244;2,213;2,412;2,319;2,641;2,593;2,856;2,946;2,868;3,282;3,250;3,350;3,474;3,688;3,591;4,232;4,160;4,200;4,565;4,614;4,663;4,717;4,764;4,813;4,860;4,910;4,959;5,009;5,058;;;
BRICS;Rice;Tonnes/hectare;2,591;2,579;2,617;2,688;2,723;2,715;2,821;2,875;2,875;2,908;2,828;2,886;2,736;2,844;2,904;2,943;2,983;3,062;3,081;3,114;3,162;3,290;3,370;3,318;3,336;3,377;3,412;3,492;3,543;3,584;3,612;3,674;3,710;3,743;3,774;3,808;3,841;3,874;3,908;3,942;3,976;;;
Canada;Rice;Tonnes/hectare;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
Chile;Rice;Tonnes/hectare;2,773;2,625;2,825;3,040;2,944;2,890;3,218;2,813;2,629;2,793;3,524;3,372;3,411;3,360;3,225;3,144;3,853;3,405;3,891;3,615;2,601;3,496;4,201;4,176;4,053;4,642;4,413;4,110;4,391;4,485;4,454;4,633;4,661;4,738;4,794;4,859;4,926;4,995;5,064;5,135;5,207;;;
China (People's Republic of);Rice;Tonnes/hectare;3,852;3,790;3,917;3,981;4,067;4,127;4,255;4,329;4,361;4,346;4,296;4,222;4,239;4,152;4,323;4,288;4,302;4,407;4,495;4,511;4,489;4,581;4,642;4,601;4,667;4,721;4,703;4,738;4,813;4,836;4,931;4,956;4,980;5,006;5,030;5,056;5,081;5,106;5,132;5,158;5,183;;;
Colombia;Rice;Tonnes/hectare;2,755;2,430;2,338;2,503;2,727;2,872;3,280;3,158;3,889;3,264;3,113;2,986;3,686;3,161;3,189;3,112;3,282;3,319;3,370;3,036;2,900;2,660;2,747;2,614;2,732;2,808;2,946;2,775;2,987;3,020;3,079;3,095;3,110;3,127;3,142;3,157;3,173;3,188;3,204;3,219;3,235;;;
Egypt;Rice;Tonnes/hectare;5,024;5,150;4,886;4,939;5,460;5,620;5,720;5,808;5,963;6,128;6,282;6,403;6,367;6,723;6,785;6,891;6,948;6,740;6,715;6,619;6,501;6,603;6,576;6,618;6,575;6,509;6,448;6,232;6,555;6,280;6,447;6,524;6,602;6,685;6,764;6,845;6,927;7,011;7,095;7,181;7,267;;;
Ethiopia;Rice;Tonnes/hectare;1,852;1,852;1,852;1,000;1,000;1,000;1,000;1,000;1,000;1,182;1,182;1,192;1,213;1,207;1,200;1,200;1,174;1,899;1,322;1,405;1,965;1,882;1,882;1,777;1,831;1,811;1,826;1,848;1,773;1,926;1,928;1,940;1,961;1,984;2,005;2,028;2,050;2,072;2,095;2,119;2,142;;;
India;Rice;Tonnes/hectare;1,740;1,751;1,744;1,888;1,911;1,797;1,882;1,900;1,921;1,986;1,901;2,079;1,743;2,078;1,984;2,105;2,131;2,202;2,178;2,125;2,239;2,393;2,462;2,416;2,391;2,400;2,494;2,576;2,638;2,705;2,697;2,776;2,818;2,851;2,887;2,928;2,969;3,010;3,052;3,094;3,136;;;
Indonesia;Rice;Tonnes/hectare;2,925;2,794;2,954;2,975;2,868;2,870;2,871;2,792;2,646;2,687;2,781;2,773;2,825;2,868;2,867;2,891;2,920;2,937;3,107;3,144;3,153;3,137;3,232;3,242;3,230;3,362;3,300;3,251;3,331;3,274;3,274;3,298;3,323;3,349;3,374;3,399;3,424;3,450;3,476;3,502;3,528;;;
Iran;Rice;Tonnes/hectare;2,495;2,551;2,495;2,444;2,528;2,560;2,819;2,630;2,839;2,768;2,381;2,494;3,047;3,073;2,682;2,811;2,672;2,790;2,534;2,573;2,850;2,304;2,671;2,797;2,808;2,857;3,161;3,458;3,216;3,169;3,144;3,288;3,322;3,382;3,427;3,477;3,527;3,579;3,631;3,683;3,737;;;
Israel;Rice;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,035;1,046;1,066;1,080;1,097;1,113;1,130;1,146;1,164;1,181;;;
Japan;Rice;Tonnes/hectare;4,586;4,247;4,549;3,318;4,907;4,598;4,740;4,651;4,507;4,649;4,858;4,810;4,771;4,240;4,650;4,819;4,592;4,719;4,913;4,728;4,760;4,924;4,981;4,940;4,963;5,071;5,238;5,148;5,059;5,026;5,032;5,161;5,156;5,151;5,146;5,141;5,135;5,130;5,125;5,120;5,115;;;
Kazakhstan;Rice;Tonnes/hectare;3,992;2,911;2,574;2,400;1,851;1,299;1,705;1,999;2,145;1,872;1,983;1,915;2,021;2,183;2,411;2,236;2,199;2,247;2,250;2,356;2,648;2,479;2,516;2,569;2,639;2,850;3,168;3,124;3,158;3,667;3,631;3,612;3,642;3,692;3,745;3,800;3,854;3,910;3,966;4,023;4,080;;;
Korea;Rice;Tonnes/hectare;4,505;4,456;4,608;4,182;4,589;4,447;5,072;5,178;4,813;4,936;4,934;5,092;4,678;4,381;4,994;4,867;4,899;4,639;5,176;5,318;4,815;4,947;4,718;5,080;5,200;5,413;5,389;5,264;5,244;5,300;5,474;5,474;5,475;5,475;5,475;5,475;5,474;5,474;5,474;5,884;5,945;;;
Malaysia;Rice;Tonnes/hectare;1,784;1,815;1,929;1,958;1,973;2,040;2,100;1,980;1,865;1,902;1,977;2,006;2,086;2,165;2,155;2,234;2,081;2,264;2,310;2,401;2,343;2,415;2,447;2,497;2,701;2,593;2,564;2,418;2,430;2,258;2,244;2,394;2,412;2,431;2,449;2,468;2,486;2,505;2,524;2,543;2,562;;;
Mexico;Rice;Tonnes/hectare;2,667;2,714;2,857;3,216;2,809;3,088;2,997;2,730;2,977;2,909;2,967;4,258;4,503;4,551;4,465;5,065;4,786;4,154;4,462;4,850;5,190;5,096;5,623;5,425;5,712;5,808;6,135;6,390;6,285;6,546;6,682;6,762;6,842;6,924;7,004;7,085;7,165;7,245;7,326;7,406;7,486;;;
New Zealand;Rice;Tonnes/hectare;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
Nigeria;Rice;Tonnes/hectare;1,242;1,172;1,176;1,176;0,850;1,054;1,050;0,957;0,961;0,897;0,900;0,780;0,804;0,846;0,852;0,858;0,890;0,780;1,053;1,158;1,103;1,220;1,138;1,191;1,297;1,245;1,202;1,249;1,240;1,227;1,169;1,250;1,262;1,279;1,294;1,310;1,325;1,342;1,358;1,376;1,393;;;
Norway;Rice;Tonnes/hectare;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
OECD - Total;Rice;Tonnes/hectare;4,273;4,195;4,336;3,767;4,569;4,336;4,693;4,644;4,532;4,568;4,732;4,761;4,711;4,392;4,726;4,772;4,672;4,708;4,804;4,814;4,729;4,776;4,915;4,938;4,999;4,979;5,036;4,932;4,973;4,863;4,902;5,008;5,028;5,039;5,050;5,062;5,079;5,095;5,113;5,176;5,201;;;
Pakistan;Rice;Tonnes/hectare;1,544;1,547;1,579;1,827;1,622;1,834;1,912;1,870;1,928;2,050;2,021;1,836;2,013;1,970;1,994;2,116;2,107;2,210;2,348;2,387;2,039;2,396;2,398;2,438;2,422;2,483;2,514;2,568;2,563;2,443;2,419;2,585;2,606;2,628;2,648;2,670;2,691;2,713;2,735;2,757;2,779;;;
Paraguay;Rice;Tonnes/hectare;1,771;1,750;1,824;1,800;1,663;2,487;2,274;2,291;2,289;2,848;2,459;2,533;2,489;2,381;2,602;2,004;1,958;2,198;2,952;2,976;3,645;3,602;3,433;4,370;4,657;4,642;4,573;4,576;4,369;4,576;4,585;4,688;4,734;4,819;4,879;4,949;5,018;5,091;5,163;5,238;5,313;;;
Peru;Rice;Tonnes/hectare;3,577;3,555;3,446;3,752;4,046;3,769;3,838;4,097;3,857;4,204;4,483;4,596;4,541;4,620;4,379;4,696;4,676;4,849;5,003;5,027;4,954;4,963;5,254;5,245;5,165;5,364;5,150;4,892;5,525;5,230;5,424;5,478;5,532;5,590;5,645;5,703;5,759;5,817;5,875;5,935;5,994;;;
Philippines;Rice;Tonnes/hectare;1,883;1,816;1,922;1,831;1,851;1,868;1,873;1,867;1,852;1,957;2,031;2,089;2,159;2,262;2,325;2,374;2,418;2,504;2,466;2,303;2,416;2,428;2,525;2,564;2,629;2,527;2,569;2,622;2,569;2,670;2,704;2,736;2,771;2,820;2,857;2,897;2,938;2,981;3,023;3,067;3,111;;;
Russia;Rice;Tonnes/hectare;3,128;2,897;2,841;2,637;2,713;2,702;2,256;2,169;2,836;2,567;3,348;3,239;3,304;2,882;3,556;3,964;4,184;4,343;4,496;4,992;5,218;5,002;5,224;4,916;5,330;5,491;5,208;5,285;5,720;5,660;5,749;5,795;5,841;5,891;5,937;5,985;6,032;6,081;6,130;6,180;6,229;;;
Saudi Arabia;Rice;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,038;1,047;1,064;1,079;1,096;1,112;1,128;1,145;1,161;1,178;;;
South Africa;Rice;Tonnes/hectare;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,091;2,107;2,139;2,165;2,195;2,225;2,257;2,288;2,321;2,354;;;
Switzerland;Rice;Tonnes/hectare;;;;;;;;;;;;;;;;;;;;;2,810;2,810;2,810;2,810;2,810;3,102;2,962;2,994;2,997;2,997;2,997;2,997;2,997;2,997;2,997;2,997;2,997;2,997;2,997;2,997;2,997;;;
Thailand;Rice;Tonnes/hectare;1,295;1,492;1,439;1,440;1,557;1,599;1,595;1,575;1,601;1,605;1,730;1,833;1,920;1,942;1,913;1,984;1,953;2,015;1,984;1,925;1,967;2,110;2,104;2,083;1,963;1,886;1,969;2,032;2,011;1,895;1,936;1,955;1,975;1,996;2,015;2,036;2,056;2,077;2,097;2,119;2,140;;;
Türkiye;Rice;Tonnes/hectare;3,000;2,850;3,000;3,000;2,927;2,400;3,055;3,000;3,150;3,139;3,627;3,661;3,612;3,434;4,200;4,240;4,218;4,145;4,541;4,668;5,212;5,433;4,411;4,883;4,586;4,763;4,755;4,932;4,696;4,747;4,781;4,963;5,021;5,098;5,151;5,219;5,286;5,357;5,429;5,504;5,580;;;
Ukraine;Rice;Tonnes/hectare;3,772;2,958;2,558;1,973;2,395;2,426;2,411;1,927;2,310;1,937;2,393;2,425;2,647;2,501;2,518;2,868;3,087;3,414;3,392;3,890;3,404;3,829;4,131;3,999;3,329;3,563;3,543;3,356;3,664;3,467;3,725;3,744;3,784;3,843;3,888;3,939;3,989;4,042;4,095;4,150;4,205;;;
United Kingdom;Rice;Tonnes/hectare;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
United States;Rice;Tonnes/hectare;4,314;4,469;4,473;4,301;4,651;4,384;4,774;4,601;4,417;4,576;4,898;5,068;5,133;5,204;5,454;5,185;5,345;5,628;5,333;5,534;5,239;5,505;5,807;6,001;5,916;5,816;5,639;5,866;6,000;5,663;5,477;5,823;5,867;5,899;5,927;5,955;6,006;6,052;6,101;6,108;6,155;;;
Viet Nam;Rice;Tonnes/hectare;2,122;2,077;2,224;2,322;2,378;2,461;2,514;2,586;2,640;2,736;2,758;2,785;2,984;3,016;3,155;3,178;3,181;3,242;3,402;3,404;3,472;3,600;3,663;3,622;3,740;3,744;3,626;3,605;3,782;3,786;3,813;3,877;3,941;4,009;4,076;4,144;4,214;4,285;4,356;4,430;4,504;;;
World;Rice;Tonnes/hectare;2,382;2,363;2,408;2,438;2,471;2,468;2,549;2,565;2,562;2,614;2,600;2,636;2,582;2,637;2,686;2,732;2,749;2,805;2,861;2,876;2,888;2,975;3,018;3,006;3,021;3,033;3,043;3,079;3,104;3,123;3,143;3,189;3,221;3,251;3,282;3,314;3,346;3,378;3,410;3,444;3,477;;;
Argentina;Soybean;Tonnes/hectare;2,421;2,291;2,159;2,038;2,044;2,105;1,720;2,694;2,445;2,339;2,585;2,630;2,803;2,208;2,729;2,679;2,971;2,821;2,385;2,905;2,607;2,616;2,809;2,755;3,165;3,031;3,116;2,318;3,220;2,899;2,840;3,031;3,057;3,083;3,106;3,130;3,154;3,180;3,206;3,233;3,257;;;
Australia;Soybean;Tonnes/hectare;1,555;2,114;1,617;2,000;1,532;1,874;1,916;1,702;1,947;1,863;1,463;1,949;1,476;2,214;1,681;2,099;2,007;2,337;1,893;1,905;1,714;1,574;1,458;1,269;1,855;1,901;1,862;1,598;1,632;1,682;1,296;1,243;1,191;1,201;1,211;1,221;1,231;1,241;1,251;1,261;1,271;;;
Brazil;Soybean;Tonnes/hectare;2,019;2,441;2,356;2,250;1,986;2,249;2,298;2,384;2,367;2,395;2,751;2,567;2,816;2,329;2,245;2,419;2,823;2,816;2,629;2,927;3,115;2,651;2,938;2,854;2,998;2,878;3,392;3,507;3,365;3,419;3,476;3,482;3,507;3,534;3,556;3,580;3,604;3,631;3,656;3,683;3,708;;;
BRICS;Soybean;Tonnes/hectare;1,957;1,695;1,564;1,808;1,721;1,750;1,826;1,804;1,863;1,839;2,002;1,955;2,228;1,862;1,870;1,936;2,115;2,115;2,017;2,184;2,392;2,136;2,338;2,212;2,335;2,220;2,628;2,712;2,634;2,593;2,669;2,677;2,702;2,726;2,746;2,766;2,786;2,809;2,831;2,854;2,874;;;
Canada;Soybean;Tonnes/hectare;2,610;2,442;2,337;2,601;2,745;2,788;2,516;2,584;2,792;2,770;2,548;1,530;2,281;2,168;2,594;2,708;2,885;2,301;2,791;2,537;2,952;2,874;3,001;2,872;2,679;2,892;2,956;2,629;2,920;2,707;3,115;3,165;3,216;3,268;3,316;3,365;3,414;3,466;3,516;3,567;3,616;;;
Chile;Soybean;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,042;1,057;1,071;1,085;1,100;1,115;1,132;1,148;1,165;1,181;;;
China (People's Republic of);Soybean;Tonnes/hectare;1,000;1,345;1,090;1,660;1,969;1,661;1,770;1,733;1,903;1,790;1,656;1,625;1,893;1,653;1,815;1,705;1,716;1,446;1,685;1,630;1,771;1,836;1,814;1,760;1,787;1,811;1,789;1,853;1,898;1,935;1,983;2,001;2,019;2,039;2,056;2,071;2,086;2,102;2,118;2,134;2,150;;;
Colombia;Soybean;Tonnes/hectare;1,000;1,945;2,136;1,932;2,108;2,140;2,078;2,120;3,718;2,123;1,606;2,334;2,310;2,695;2,738;2,738;2,781;2,781;2,781;2,781;2,781;3,423;2,995;2,995;3,023;2,995;2,995;2,995;2,995;3,000;3,000;3,035;3,071;3,108;3,141;3,175;3,209;3,245;3,280;3,317;3,351;;;
Egypt;Soybean;Tonnes/hectare;1,000;2,698;2,753;2,883;2,434;2,610;2,641;1,372;4,187;7,758;5,628;3,000;3,000;2,231;3,308;2,000;1,771;2,000;2,232;2,000;3,308;2,308;2,889;2,750;2,857;2,500;2,500;2,500;2,500;2,500;2,500;2,515;2,531;2,548;2,561;2,575;2,589;2,605;2,620;2,636;2,651;;;
Ethiopia;Soybean;Tonnes/hectare;1,000;2,985;3,088;3,235;3,088;3,188;3,286;3,286;3,429;3,571;3,571;3,571;3,571;3,571;3,571;3,571;3,571;3,571;3,571;1,167;1,455;1,895;2,000;1,968;1,895;1,889;2,050;2,738;2,857;2,857;2,857;2,948;3,010;3,067;3,115;3,159;3,205;3,253;3,301;3,352;3,401;;;
India;Soybean;Tonnes/hectare;1,000;0,658;0,776;1,099;0,804;0,992;0,995;0,793;0,852;0,804;0,862;0,892;0,827;0,909;0,892;0,993;0,997;1,235;1,042;1,024;1,327;1,208;1,353;1,012;0,951;0,739;1,177;1,047;1,192;0,933;1,033;1,045;1,057;1,069;1,080;1,092;1,104;1,116;1,127;1,139;1,151;;;
Indonesia;Soybean;Tonnes/hectare;1,000;0,934;1,272;1,214;1,059;1,137;1,186;1,239;1,201;1,676;1,236;1,144;1,233;1,275;1,286;1,301;1,287;1,283;1,313;1,336;1,379;1,270;1,479;1,418;1,563;1,492;1,521;1,500;1,316;1,488;1,476;1,476;1,499;1,523;1,544;1,567;1,590;1,615;1,639;1,664;1,689;;;
Iran;Soybean;Tonnes/hectare;1,000;1,095;1,667;1,797;2,260;1,362;1,269;1,691;2,760;0,894;1,614;1,477;1,266;1,444;1,455;1,539;1,500;1,429;1,852;2,375;2,063;2,125;2,175;2,175;2,250;2,375;2,463;2,500;2,625;2,625;2,750;2,765;2,806;2,848;2,888;2,929;2,972;3,017;3,061;3,107;3,152;;;
Israel;Soybean;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,034;1,051;1,067;1,083;1,099;1,115;1,133;1,150;1,168;1,186;;;
Japan;Soybean;Tonnes/hectare;1,508;1,399;1,711;1,156;1,626;1,735;1,809;1,743;1,448;1,730;1,918;1,886;1,803;1,529;1,193;1,679;1,613;1,639;1,779;1,581;1,616;1,601;1,799;1,552;1,761;1,712;1,587;1,684;1,439;1,519;1,708;1,690;1,694;1,699;1,703;1,707;1,711;1,716;1,720;1,724;1,728;;;
Kazakhstan;Soybean;Tonnes/hectare;1,000;0,824;1,192;1,127;0,967;0,885;0,844;1,104;1,333;1,333;1,000;1,000;1,000;1,250;1,250;1,250;1,200;1,346;1,745;1,774;1,839;2,013;2,000;1,971;1,832;2,000;1,791;1,889;1,821;2,014;2,036;2,036;2,058;2,090;2,118;2,146;2,176;2,207;2,238;2,270;2,302;;;
Korea;Soybean;Tonnes/hectare;1,529;1,538;1,681;1,457;1,268;1,520;1,634;1,567;1,438;1,334;1,314;1,501;1,424;1,306;1,625;1,739;1,733;1,498;1,763;1,982;1,475;1,662;1,516;1,925;1,866;1,827;1,539;1,880;1,766;1,775;1,773;1,764;1,778;1,791;1,804;1,818;1,831;1,845;1,859;1,873;1,887;;;
Malaysia;Soybean;Tonnes/hectare;1,000;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,345;0,351;0,356;0,361;0,366;0,371;0,377;0,382;0,388;0,394;;;
Mexico;Soybean;Tonnes/hectare;2,011;2,122;1,839;2,093;1,811;1,412;1,143;1,506;1,598;1,637;1,463;1,650;1,532;1,856;1,501;1,947;1,496;1,412;2,020;1,868;1,093;1,320;1,739;1,520;1,884;1,365;1,833;1,649;1,700;2,408;1,750;1,850;1,860;1,870;1,880;1,890;1,900;1,910;1,920;1,930;1,940;;;
New Zealand;Soybean;Tonnes/hectare;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
Nigeria;Soybean;Tonnes/hectare;1,000;0,283;0,284;0,275;0,287;0,311;0,641;0,656;0,719;0,730;0,840;0,859;0,890;0,900;0,940;0,960;0,949;0,923;1,108;0,954;0,954;1,046;0,973;0,762;0,944;0,903;1,013;0,929;0,893;0,933;0,933;0,940;0,947;0,954;0,960;0,967;0,973;0,980;0,987;0,994;1,000;;;
Norway;Soybean;Tonnes/hectare;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
OECD - Total;Soybean;Tonnes/hectare;2,303;2,312;2,508;2,204;2,756;2,386;2,523;2,612;2,615;2,471;2,548;2,620;2,546;2,262;2,813;2,839;2,862;2,762;2,666;2,924;2,905;2,806;2,687;2,936;3,151;3,177;3,427;3,233;3,339;3,140;3,338;3,372;3,399;3,428;3,451;3,476;3,502;3,531;3,558;3,587;3,614;;;
Pakistan;Soybean;Tonnes/hectare;1,000;0,605;0,564;0,797;1,202;1,264;1,294;1,308;1,111;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;0,500;0,500;1,429;2,000;1,000;1,000;1,000;1,000;1,000;1,034;1,051;1,068;1,083;1,099;1,115;1,132;1,149;1,167;1,184;;;
Paraguay;Soybean;Tonnes/hectare;1,000;2,581;2,825;2,587;3,008;2,875;2,949;2,630;2,619;2,525;2,601;2,276;2,861;2,203;2,056;1,990;2,818;2,727;1,616;2,649;2,917;1,365;2,597;2,416;2,630;2,806;2,956;2,884;2,440;2,931;2,762;2,776;2,791;2,807;2,819;2,831;2,844;2,859;2,873;2,888;2,901;;;
Peru;Soybean;Tonnes/hectare;1,000;1,328;1,632;1,242;1,442;1,567;1,447;1,498;1,542;1,395;1,676;1,579;1,364;1,364;1,364;1,364;1,364;1,364;1,364;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,273;2,354;2,395;2,433;2,467;2,504;2,541;2,580;2,619;2,660;2,700;;;
Philippines;Soybean;Tonnes/hectare;1,000;1,041;1,055;1,305;1,376;1,116;1,296;1,151;2,347;2,584;2,717;2,717;1,539;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,769;0,793;0,807;0,820;0,831;0,843;0,855;0,868;0,880;0,894;0,907;;;
Russia;Soybean;Tonnes/hectare;1,063;0,937;0,783;0,795;0,727;0,596;0,583;0,691;0,652;0,762;0,812;0,839;0,888;0,672;0,973;0,956;0,952;0,837;0,998;1,078;1,014;1,428;1,219;1,067;1,294;1,360;1,498;1,477;1,468;1,402;1,496;1,461;1,474;1,488;1,501;1,514;1,528;1,542;1,555;1,570;1,584;;;
Saudi Arabia;Soybean;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,038;1,053;1,069;1,084;1,100;1,116;1,133;1,149;1,167;1,184;;;
South Africa;Soybean;Tonnes/hectare;1,000;0,819;1,492;1,232;0,901;1,177;1,379;1,608;1,540;1,866;1,111;1,692;2,020;0,913;1,100;1,138;2,120;1,000;1,128;2,150;1,826;1,691;1,383;1,510;1,896;2,127;1,293;2,293;1,957;1,603;1,681;1,770;1,796;1,823;1,847;1,872;1,897;1,923;1,949;1,975;2,000;;;
Switzerland;Soybean;Tonnes/hectare;2,429;2,343;2,634;2,282;2,758;2,775;2,572;2,647;2,605;3,323;3,939;3,068;3,024;2,335;2,845;2,635;2,603;2,604;2,909;2,709;2,852;2,939;2,810;2,525;2,595;2,358;2,549;3,328;2,076;3,109;2,965;2,986;3,006;3,027;3,048;3,069;3,091;3,112;3,133;3,155;3,177;;;
Thailand;Soybean;Tonnes/hectare;1,000;1,369;1,399;1,371;1,326;1,650;1,405;1,541;1,430;1,414;1,344;1,231;1,026;1,115;1,303;1,257;1,211;1,051;1,700;1,600;1,520;1,655;1,829;1,767;1,733;1,657;1,833;1,583;1,720;1,720;1,720;1,778;1,806;1,834;1,861;1,888;1,916;1,946;1,975;2,005;2,035;;;
